sample	n_biallelic	n_multi
CPCT02050215T	6831	1
CPCT02050246T	5263	0
DRUP01010099T	4577	0
OPTC01070017T	29341	4
CPCT02030543T	12286	0
CPCT02040078T	9296	0
CPCT02020983T	12141	1
WIDE01010038T	20221	1
CPCT02060192T	3156	0
CPCT02120032T	61901	2
DRUP01070070T	10282	3
WIDE01010224T	65288	3
DRUP01050016T	57210	12
CPCT02040050T	7584	0
CPCT02020933T	2615	0
WIDE01010500T	12711	1
CPCT02180077T	12582	0
CPCT02340022T	681051	114
CPCT02020318T	4823	0
WIDE01010037T	19013	0
DRUP01010001T	11328	0
ACTN01020149T	53684	1
CPCT02060226T	9185	0
CPCT02020599T	9814	0
WIDE01011123T	5099	0
ACTN01020214T	30379	1
CPCT02010702T	25888	3
CPCT02130096T	14514	0
CPCT02380045T	30458	3
CPCT02010414T	29406	3
CPCT02040115TII	16397	0
CPCT02050294T	128469	1
CPCT02080263T	4811	1
DRUP01080025T	163175	5
CPCT02070200T	7472	0
CPCT02390037T	4838	0
OPTC01080012T	17226	0
CPCT02070125T	13097	0
CPCT02110101T	5516	0
WIDE01010172T	109313	0
CPCT02110016T	4366	0
CPCT02100064T	23039	2
CPCT02020812T	2685	0
DRUP01010116T	69895	0
CPCT02330133T	23080	0
CPCT02050268T	9484	0
CPCT02100051T	5878	0
CPCT02040192T	7052	0
CPCT02070211T	16612	0
CPCT02050263T	8950	0
CPCT02130132T	10797	0
CPCT02090023T	27039	0
CPCT02020508T	12041	0
CPCT02230066T	6358	0
CPCT02340030T	204759	1
CPCT02020586T	28136	0
CPCT02010842T	9478	0
CPCT02080069T	7789	0
CPCT02020422T	7127	0
CPCT02190047T	54191	1
WIDE01010953T	23898	1
CPCT02260016T	8102	0
CPCT02020401T	13419	0
CPCT02120099T	4318	0
CPCT02110077T	25942	1
CPCT02120172T	10867	0
CPCT02140017T	9596	0
DRUP01440006T	3737	0
CPCT02330080T	17461	0
CPCT02020319T	12714	0
CPCT02080067T	17158	0
WIDE01010981T	4235	0
CPCT02070231T	7765	0
CPCT02330033T	21573	4
CPCT02020977T	3229	0
GLOW01100003T	17904	0
WIDE01010725T	25014	0
CORE01130008T	7291	1
CPCT02290001T	20944	0
CPCT02010352T	1492	1
CPCT02020310T	7899	0
CPCT02060156T	7112	0
CPCT02310011T	14443	1
ACTN01020130T	35998	1
CPCT02390006T	31885	0
CPCT02340008T	3325	0
CPCT02060264T	7107	0
CPCT02050341T	3557	1
CPCT02020614T	32475	0
CPCT02100141T	33920	2
CPCT02050179T	21664	0
CPCT02010408TII	7219	0
CPCT02050085T	23771	0
WIDE01011120T	8112	0
DRUP01220003T	64036	3
CPCT02390003T	2025	0
