Sample	Ncl	subsets_fit	o_e_11	o_e_33	o_e_31	o_e_13	Mixture_tumours
87191_N2	2	Good	1.2730841314325834	1.0823415540813552	0.6448544194110377	0.7373676631592573	mixture_tumours
88305_N2	2	Good	2.4728394439773953	6.840446333284086	0.0	0.0031827892789400786	one_tumour
88307_N7	2	Good	2.3564534264604755	4.174134082591473	0.02538487695346806	0.023231213071066768	one_tumour
88308_N2	2	Good	2.793296174988986	1.1635643205483062	0.010561584834198999	0.81131028220787	mixture_tumours
88581_N2	2	Good	4.575364130564935	2.3094084078543786	0.13533229321996865	0.07066819267234681	one_tumour
88625_N1	2	Good	2.768529985497015	4.456906078527508	0.0020963148462055585	0.007762504618690247	one_tumour
88626_N2	2	Good	1.5634571778085693	1.4234864648118908	0.8017362008525946	0.44225227539592893	mixture_tumours
89374_N2	2	Good	0.3162834265021645	0.4228927494229821	1.5302333849709222	2.0160883242600183	mixture_tumours
89375_N1	2	Bad	0.0	0.0	0.0	0.0	mixture_tumours
89484_N1	2	Good	2.3615416841223293	2.776265733752492	0.17119490631726447	0.003192621496984747	one_tumour
89487_N1	2	Good	1.6398577356076647	1.409670763638289	0.09417557341061564	0.1393302615733302	mixture_tumours
89488_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
89489_N4	2	Good	2.252502590135508	2.499660176810261	0.0018240374235336451	0.00882608230073626	one_tumour
89489_N6	2	Good	5.030855708735862	3.8213381363523453	0.0023808082825917502	0.0	one_tumour
89489_N9	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
89800_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
89807_N3	2	Good	1.9851706728313776	2.5560078607523864	0.10985602424854764	0.17445004897531854	one_tumour
89807_N4	2	Good	4.785929691575104	1.1937978800769071	0.0	0.0	mixture_tumours
89807_N6	2	Good	0.0	0.7260011166235122	2.2217243898607935	1.534405316649015	mixture_tumours
89808_N1	2	Bad	1.3917048245210513	4.042867701404286	0.0	0.0	mixture_tumours
89808_N3	2	Good	1.9064135164725695	1.3233429889596084	0.005347600561584072	0.06934657934287349	mixture_tumours
89985_N1	2	Good	5.518695697779313	3.2000743782356977	0.00566648093482393	0.0	one_tumour
89985_N2	2	Good	2.370448999103311	2.780280271848377	0.07608332078188053	0.0	one_tumour
89985_N3	2	Good	1.3136597945569743	1.1566726087677401	0.854938533033581	1.1363611373426645	mixture_tumours
89985_N4	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
89986_N1	2	Good	4.891251133372411	6.430584078622169	0.0	0.0	one_tumour
89986_N2	2	Good	1.7706514386746646	5.2295212905879485	0.003779483741070583	0.036748429306352956	one_tumour*
89986_N3	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
89986_N4	2	Good	2.482447789611472	2.897576073927574	0.00529623614151543	0.002405318144350972	one_tumour
89995_N1	2	Good	1.9571960786141038	2.1964339248130917	0.005000741558398163	0.029237997075347907	one_tumour
89995_N2	2	Good	2.001731043083546	2.8005743687025517	0.012948691794281557	0.01060764695714905	one_tumour
90004_N1	2	Good	3.568820660068649	3.6407080782812073	0.0005681828427090591	0.0005669460444890944	one_tumour
90004_N2	2	Good	3.00872386445566	8.754511900216368	0.012193193051828838	0.0	one_tumour
90004_N3	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90004_N4	2	Good	2.2610088601852634	7.206071474983757	0.0008693975775464348	0.002662936356676278	one_tumour
90004_N5	2	Bad	2.3584786895191874	1.7477347477815282	0.03847726111394993	0.009651721950083637	one_tumour*
90004_N6	2	Good	1.5299172270791466	1.4122824056449717	0.44490957902757267	0.4415822479759209	mixture_tumours
90022_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90022_N2	2	Good	1.980765961943089	2.8675402850984075	0.03313164792331165	0.08769144839345032	one_tumour
90068_N2	2	Good	2.536951022391166	4.698440065970571	0.0	0.002496109014108377	one_tumour
90069_N3	2	Good	1.6750097318240715	2.453500748401994	0.015540354742167695	0.06989576342409219	one_tumour*
90170_N2	2	Good	0.7858442697825794	1.4543023838549272	0.8183299556997474	0.802979187206664	mixture_tumours
90170_N3	2	Good	5.129678860290133	5.399361929881304	0.0	0.0	one_tumour
90211_N1	2	Good	4.859892676166434	3.7308771981834945	0.007221652461142388	0.0015452342384507938	one_tumour
90211_N5	2	Good	1.9901126405698153	2.5485245499070026	0.0	0.012269549401478026	one_tumour
90213_N3	2	Good	1.6200392170432147	2.6862763059082075	0.010211533529409109	0.12083310054288712	one_tumour*
90302_N1	2	Good	3.259879292729653	3.837311794786849	0.0008155467191335055	0.0	one_tumour
90400_N1	2	Good	1.7392351607319534	3.0982874072508335	0.006060771791308584	0.02597688016552052	one_tumour*
90400_N4	2	Good	2.446823797903021	3.034465524614134	0.0	0.01755684737211733	one_tumour
90400_N5	2	Good	3.4023886221976225	6.905940526993159	0.0	0.0	one_tumour
90402_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90446_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90446_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90446_N3	2	Good	3.128652432403413	6.506411769147992	0.004009264115673088	0.003543982073300949	one_tumour
90446_N4	2	Good	0.7977645116493041	1.1558817142292808	0.9426542217088406	0.3286340589612616	mixture_tumours
90447_N1	2	Good	1.5500643987815013	1.072642298956905	0.7065052137642482	0.8189612651883197	mixture_tumours
90447_N3	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90526_N2	2	Good	6.066307365670424	5.595070206438381	0.0	0.016551876568560348	one_tumour
90590_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90590_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90721_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90732_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90732_N2	2	Good	3.2046826012125345	5.639311376735712	0.0	0.006516880051498462	one_tumour
90789_N1	2	Good	4.433768675355632	5.172377929687084	0.0	0.0	one_tumour
90789_N2	2	Good	4.03593765520324	4.187366836217253	0.008489791000608487	0.004326254965018581	one_tumour
90791_N2	2	Good	3.473101093442517	3.069296789306759	0.0067008625760706505	0.13108518438362812	one_tumour
90791_N3	2	Good	1.8500266659009381	7.309172226004084	0.0029394538979026514	0.004458995609438088	one_tumour
90793_N2	2	Good	0.0	0.008747172068533161	4.077644669887195	7.975430017200095	Symmetric
90796_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90796_N3	2	Good	2.2608587999956082	3.7744800952827804	0.7645051032729395	0.4836636676215543	mixture_tumours
90797_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90797_N2	2	Good	2.4098425117320366	2.7622987421606826	0.003785031772689512	0.06005965440038945	one_tumour
90797_N3	2	Good	2.7139914866183563	2.8923458388813286	0.09292146258743082	0.1482472538751851	one_tumour
90798_N1	2	Good	2.5115339190834916	2.963469108858384	0.013757646951135795	0.0470312199793617	one_tumour
90801_N1	2	Good	3.858574453892599	3.2924408019117752	0.00754471897082758	0.0044612814424290605	one_tumour
90802_N1	2	Good	3.3920445001308015	4.120417363554223	0.008247818901571927	0.003518970794510143	one_tumour
90803_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90803_N3	2	Good	2.8382366142674753	5.915242264451299	0.025496446488294317	0.03970868900557365	one_tumour
90803_N4	2	Good	2.088904799969548	5.319559234839879	0.025953401584681263	0.002120195794053662	one_tumour
90803_N7	2	Good	3.1878917985083564	3.7732791889021726	0.0	0.0018279508072482477	one_tumour
90803_N8	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90810_N1	2	Good	3.184288793851858	2.825539915258369	0.05867035444191909	0.033591594432078174	one_tumour
90810_N2	2	Good	1.2492204786094891	0.9790281749893068	1.3928261084541922	0.36914865953824205	mixture_tumours
90810_N3	2	Good	4.537206245391299	5.760521927706453	0.07249786770977323	0.0057609980432472155	one_tumour
90810_N4	2	Good	0.8305726312151287	2.9058669527044474	0.7346894444239904	0.16628173366365648	mixture_tumours
90810_N5	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90810_N6	2	Good	3.2455122517234316	4.689759616226342	0.0	0.0	one_tumour
90814_N1	2	Good	0.8643000767444168	1.3881915191619583	1.1055941794018873	0.8532394466019214	mixture_tumours
90880_N1	2	Good	6.422020976025337	3.9614140893129917	0.0	0.0009382602722520881	one_tumour
90880_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90885_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90885_N2	2	Good	2.850253240014251	2.402572845718913	0.022129462579868146	0.0	one_tumour
90886_N2	2	Good	4.396437792052474	4.664157071154414	0.01427853192559075	0.04926473959980017	one_tumour
90886_N3	2	Good	2.0915613063272582	3.112964972486891	0.0	0.0022472973292645424	one_tumour
90886_N4	2	Good	0.0033602964573070295	0.0028654163998221654	3.1666685100392438	3.7342804737271456	Symmetric
90886_N5	2	Good	2.3589144665879322	5.906319886709045	0.009207584797476376	0.0015484611030844055	one_tumour
90886_N6	2	Good	1.810826863084288	1.1072964396410132	1.2379667027561003	0.28908886389201355	mixture_tumours
90886_N7	2	Good	1.1530330183944664	1.4312299803410684	0.5498835660131144	0.18820782464411373	mixture_tumours
90887_N1	2	Good	1.5916495224895508	3.9551413617628213	0.25625434674615	0.442280768405927	one_tumour*
90887_N2	2	Bad	0.0	0.0	0.0	0.0	mixture_tumours
90887_N3	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90887_N4	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
90888_N1	2	Good	4.483350777594911	3.140447519131643	0.001995867829086821	0.0	one_tumour
90888_N2	2	Good	1.207418533083728	0.513653089326167	0.9939894219568042	1.5020261344494077	mixture_tumours
90888_N3	2	Good	1.8809594379735846	0.7788353142010499	1.079881163654904	0.8296492555231003	mixture_tumours
90888_N4	2	Good	3.7570678083137694	1.9114361940113016	0.032703598547375375	0.022836070232838637	one_tumour
90888_N5	2	Good	4.566356360212292	2.6075824353474673	0.01928100655391836	0.03688926006726661	one_tumour
91058_N2	2	Good	3.170134394653864	2.942873502466526	0.02367450298447778	0.18822562979189486	one_tumour
91097_N1	2	Good	3.206279076257887	3.676389522839788	0.002738486162679001	0.014582951280640627	one_tumour
91097_N2	2	Good	4.189009295156243	8.99733544577272	0.11952845685573484	0.04306203439392885	one_tumour
91098_N1	2	Good	2.5051105576742825	1.8022513893066925	0.3574295095637672	0.1395918184076207	one_tumour
91099_N1	2	Good	2.0369668715716442	2.8040756232223525	0.17430208896837576	0.24545939763629435	one_tumour
91099_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91100_N1	2	Good	3.6755108127423233	3.619177632311357	0.02089802428749183	0.0012004139943669618	one_tumour
91100_N2	2	Good	4.560929048679605	2.8853312717201214	0.011051311905463577	0.0	one_tumour
91100_N3	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91100_N4	2	Good	2.6910216348880533	2.256492609963251	0.06682463372939436	0.0171771341313798	one_tumour
91113_N1	2	Good	4.141562905435797	3.0118765011939526	0.021567651219608495	0.009623201557862098	one_tumour
91113_N2	2	Good	2.9787478497244013	6.7794081074954295	0.0007088945630797202	0.006441405631532841	one_tumour
91113_N3	2	Good	3.535852278283576	2.8207583220108696	0.038029664705267925	0.011623533668494822	one_tumour
91113_N4	2	Good	4.2741465733617545	3.173507742703837	0.013054621473634091	0.006050202805487402	one_tumour
91113_N5	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91113_N6	2	Good	3.7995426829268295	4.514236285975416	0.0	0.03074705000250572	one_tumour
91113_N7	2	Good	4.583946927268388	3.433063260491493	0.00748780721865052	0.004930472046993895	one_tumour
91114_N1	2	Good	11.362643633439681	4.42968473708206	0.0	0.028914133576123772	one_tumour
91121_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91121_N4	2	Good	2.7111994607624728	1.7399659752509504	0.042427977239512395	0.1683266737681355	one_tumour*
91143_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91208_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91208_N2	2	Good	0.002782547445876355	0.024760119222824447	5.398961828420125	2.6413419323269975	Symmetric
91213_N1	2	Good	2.128444851817904	1.1649297630494395	0.6727490215453689	0.5418250487329435	mixture_tumours
91213_N2	2	Good	3.954498581133373	2.749089010189913	0.0	0.0	one_tumour
91213_N3	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91215_N1	2	Good	3.4717843787501583	2.0044193658595724	0.05975724311072545	0.02903025575309396	one_tumour
91215_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91215_N4	2	Good	3.067135690330961	3.7371792704608637	0.025109532477620322	0.007562949067214708	one_tumour
91215_N5	2	Good	3.732034104750305	1.7572885938171043	0.12078906512642308	0.0338409475465313	one_tumour*
91215_N6	2	Good	2.772225073085775	2.3472974378434595	0.10886897767332551	0.07184916867347083	one_tumour
91215_N7	2	Good	0.0029755454462056796	0.0011944189108738599	3.503505546175833	2.630378260569296	Symmetric
91215_N8	2	Good	2.7569421550179865	2.4639969223935982	0.02137799930346239	0.006603628102317736	one_tumour
91215_N9	2	Good	3.4229929567456643	6.808483051460334	0.0	0.00945440269440972	one_tumour
91216_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91216_N2	2	Good	1.4928699622645136	3.8753196930946294	0.32965377651050015	0.02242770017706079	mixture_tumours
91216_N3	2	Bad	0.22336726326627493	1.0922620559566907	0.0	1.2003644980697212	mixture_tumours
91216_N4	2	Good	3.9027742600397546	3.074563336888257	0.002152580646377369	0.054746059116312626	one_tumour
91216_N5	2	Good	2.567473107659002	2.2246769978950427	0.1332950463385246	0.03189873895286872	one_tumour
91216_N6	2	Good	3.3183299457740514	2.0000274038820067	0.011625843595434728	0.005810973352241701	one_tumour
91216_N7	2	Good	1.43205629078694	0.0	0.0	1.8338896141895888	mixture_tumours
91217_N1	2	Good	3.5797236964785197	3.3528003453824717	0.005351444631365324	0.00742120243156822	one_tumour
91217_N2	2	Good	3.58711896579649	10.287914791413439	0.013207307533548665	0.0	one_tumour
91217_N3	2	Bad	0.0	0.0	0.0	0.0	mixture_tumours
91218_N1	2	Good	4.3111571335553585	4.497200880077482	0.007690773190163652	0.008430468137646615	one_tumour
91218_N2	2	Good	1.206026300996929	1.1891198840200536	0.4328847693352762	0.27579504692466134	mixture_tumours
91218_N3	2	Good	1.912001223897424	2.491391968484707	0.027982130529143702	0.06381861450741311	one_tumour
91218_N5	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91218_N6	2	Good	1.8452318916102137	3.220567228668739	0.0	0.036044713942434754	one_tumour
91376_N2	2	Good	2.1443021402730675	2.330677327161468	0.004757211646640565	0.003167604079155492	one_tumour
91414_N1	2	Good	2.3385728778054657	2.093291678721652	0.20161961491089508	0.2532958426840585	one_tumour
91414_N2	2	Good	2.7367715767890557	3.5173771940516825	0.03975311601150528	0.0	one_tumour
91415_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91415_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91415_N3	2	Good	2.1375981880753803	2.116064193751688	0.012486272196374378	0.12991121999581245	one_tumour
91415_N5	2	Good	2.6240153681385134	3.482379864470913	0.0	0.015688112325741223	one_tumour
91416_N1	2	Good	1.1665319099845255	0.7531579710260157	1.3521067665148436	0.979270087477056	mixture_tumours
91416_N2	2	Good	2.0966794822662598	3.253687115837242	0.0169762523321168	0.008716326365598145	one_tumour
91424_N1	2	Good	1.6308892292114834	1.9265608561626197	0.6802460813556437	0.2042063403239322	mixture_tumours
91424_N2	2	Good	0.0	1.3703566217550658	0.8331643033418417	0.9565315974944968	mixture_tumours
91429_N1	2	Good	4.968425261737214	3.3648465032233554	0.018938100346839303	0.009255735372984152	one_tumour
91429_N2	2	Good	3.654641564600382	2.8378127719441006	0.0	0.06731898123168317	one_tumour
91429_N4	2	Good	0.6260194075493216	1.0621704889030676	1.3060377303831097	0.8138408680158634	mixture_tumours
91430_N2	2	Good	1.6218873891809311	3.670269768372688	0.01014490349196869	0.01868623535982219	one_tumour*
91430_N3	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91431_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91432_N1	2	Good	2.635514018691589	0.46097211851668296	0.0	2.342135834792711	mixture_tumours
91432_N2	2	Good	2.2167873691615716	2.9279346715211907	0.0	0.0	one_tumour
91520_N1	2	Good	1.4348798783678944	1.7696901829040688	0.5267433745503999	0.04686251886038875	mixture_tumours
91520_N2	2	Good	1.8094148852355691	0.9695398428851061	0.5382321529339139	1.1604937179630457	mixture_tumours
91522_N2	2	Good	0.7218997364953886	0.0005478396599068161	1.6545225991345747	1.0620137900842728	mixture_tumours
91523_N1	2	Good	3.9639514554772255	2.849823385088144	0.00574291441138725	0.0035798482855126015	one_tumour
91531_N1	2	Good	4.749177947189033	3.8948150447094227	0.008065071348220706	0.005770605638469155	one_tumour
91531_N3	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91532_N1	2	Good	2.0570351272419183	4.8535234496237285	0.015223975485758458	0.15867323559631252	one_tumour
91532_N2	2	Good	3.644664657749616	4.939594552675713	0.005680489905190345	0.0	one_tumour
91539_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91539_N3	2	Good	3.554151516784153	3.497696935315807	0.0041135354993568725	0.011633267434805455	one_tumour
91539_N4	2	Good	4.372952317225094	4.1337946749723695	0.0043455329032138675	0.0019016566312703652	one_tumour
91539_N5	2	Good	2.553361636383963	2.6165060439020884	0.02080967546350563	0.0	one_tumour
91540_N1	2	Good	5.704802850068731	3.0225244319178097	0.004449742728443858	0.0	one_tumour
91577_N1	2	Good	0.9910968181530945	0.5997314188012002	1.6157678857174942	1.5183498327516125	mixture_tumours
91577_N3	2	Good	1.493226243582268	0.5847490407010197	1.486951083859193	1.2395086423217294	mixture_tumours
91585_N3	2	Bad	3.6843952408272918	2.27097708827917	0.03599035160895763	0.017582610017768965	one_tumour
91588_N1	2	Good	0.09498636779014677	0.9271957671957674	0.4175666780555508	0.014305364511691886	mixture_tumours
91589_N1	2	Good	4.967792247227456	5.409600848608555	0.003796794383496022	0.0011855327923843422	one_tumour
91590_N1	2	Bad	1.7413017256412358	0.45497695316174563	0.0	0.7299769479269896	mixture_tumours
91598_N1	2	Bad	0.0	0.0	0.0	0.0	mixture_tumours
91599_N1	2	Good	2.1755796584495393	4.15658278743402	0.031052823844651727	0.0061875575644814666	one_tumour
91599_N2	2	Good	3.8861810963505876	3.0979309936133137	0.010983782794665936	0.0	one_tumour
91599_N3	2	Good	1.7294102479724167	1.7629448929954088	0.4570832183223495	0.5176770597823229	one_tumour*
91603_N1	2	Good	1.345599931605582	2.1846240975335616	0.009512600372921738	0.7036517949736919	mixture_tumours
91604_C1	2	Good	1.7655167406797914	2.0325006466695648	0.11944170399961185	0.012411103502136499	one_tumour*
91604_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91605_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91611_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91612_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91613_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
91613_N2	2	Bad	2.826428046089728	4.871681465038845	0.0	0.0	one_tumour
91615_N2	2	Good	4.192288849476924	3.7561915849748204	0.0006754519223950945	0.0	one_tumour
91615_N3	2	Good	2.0662626955372168	1.8575286875995527	0.6622115567833062	0.009284715901028483	mixture_tumours
