Sample,mice_line,drivers,LAD_ML_segm,comments,division
88625_N1,CAST,Egfr;Egfr,1,,
89800_N2,CAST,Braf;Hras,4,LAD=1 or LAD=2not_all_survived+different_clone_size??,
90022_N1,C3H,Braf;Braf,2,,
90170_N3,C3H,Egfr;Hras,1,,
90789_N2,C3H,Egfr;Braf,1,,
90887_N1,C3H,Egfr;Braf,2,,
90887_N2,C3H,Egfr;Hras,0,,
90887_N4,C3H,Hras;Hras,2,,
91121_N4,CAST,Egfr;Egfr,2,,
91216_N1,C3H,Braf;Hras,3,LAD=1 or LAD=2not_all_survived+different_clone_size??,
91217_N2,C3H,Hras;Hras,1,,
91217_N3,C3H,Hras;Hras,0,LAD=1 or LAD=2not_all_survived+different_clone_size??,
91376_N2,CAST,Egfr;Braf;Braf,2,,
91531_N1,CAST,Braf;Braf,1,,
91532_N1,CAST,Egfr;Egfr,2,,
91590_N1,CAST,Braf;Braf,2,,
91599_N1,C3H,Hras;Hras,1,,
91620_N2,C3H,Braf;Hras,2,,
91865_N6,CAST,Braf;Hras,3,LAD=1 or LAD=2not_all_survived+different_clone_size??,
91928_N4,CAST,Egfr;Braf,2,,
91930_N2,C3H,Egfr;Braf;Braf,3,,
91932_N3,C3H,Egfr;Braf,1,,
92187_N4,C3H,Egfr;Egfr;Egfr,2,,
93091_N5,C3H,Egfr;Braf,3,LAD=1 or LAD=2not_all_survived+different_clone_size??,
93091_N8,C3H,Egfr;Braf,1,,
93096_N5,C3H,Egfr;Braf,1,,
93129_N3,C3H,Hras;Hras,1,,
93258_N12,C3H,Braf;Braf,1,,
93258_N4,C3H,Egfr;Hras,1,,
93258_N6,C3H,Egfr;Braf;Braf,2,,
93260_N7,C3H,Egfr;Braf,2,,
94315_N10,C3H,Kras;Hras,2,,
88308_N2,CAST,Egfr;Braf,,as_by_clon-subclon_HMM_as,Mixture
89374_N2,CAST,Egfr;Braf,,as_by_clon-subclon_HMM_as,Mixture
89985_N3,C3H,Braf;Hras,,as_by_clon-subclon_HMM_as,Mixture
90004_N6,C3H,Egfr;Egfr,,as_by_clon-subclon_HMM_as,Mixture
90803_N7,C3H,Hras;Hras,,as_by_clon-subclon_HMM_as,Mixture
90886_N6,C3H,Egfr;Hras,,as_by_clon-subclon_HMM_as,Mixture
91424_N1,CAST,Egfr;Egfr,,as_by_clon-subclon_HMM_as,Mixture
91429_N4,CAST,Egfr;Egfr,,as_by_clon-subclon_HMM_as,Mixture
91520_N2,CAST,Egfr;Egfr,,as_by_clon-subclon_HMM_as,Mixture
91522_N2,CAST,Braf;Hras,,as_by_clon-subclon_HMM_as,Mixture
91577_N3,CAST,Braf;Hras,,as_by_clon-subclon_HMM_as,Mixture
91603_N1,C3H,Braf;Hras,,as_by_clon-subclon_HMM_as,Mixture
91615_N5,C3H,Egfr;Hras,,as_by_clon-subclon_HMM_as,Mixture
91615_N6,C3H,Egfr;Egfr,,as_by_clon-subclon_HMM_as,Mixture
91619_N2,C3H,Braf;Hras,,as_by_clon-subclon_HMM_as,Mixture
91838_N1,C3H,Braf;Hras,,as_by_clon-subclon_HMM_as,Mixture
91864_N3,CAST,Egfr;Egfr,,as_by_clon-subclon_HMM_as,Mixture
91868_N7,CAST,Braf;Hras,,as_by_clon-subclon_HMM_as,Mixture
91928_N2,CAST,Egfr;Braf,,as_by_clon-subclon_HMM_as,Mixture
92058_N3,C3H,Braf;Hras;Hras,,as_by_clon-subclon_HMM_as,Mixture
94316_N2,C3H,Egfr;Braf,,as_by_clon-subclon_HMM_as,Mixture
