Sample	emission_HMM_multi_state_M_M1	emission_HMM_multi_state_M_M2	emission_HMM_multi_state_M_M3	segments_HMM_multi_state_M1	segments_HMM_multi_state_M2	segments_HMM_multi_state_M3	segments_HMM_multi_state_M1_prop	segments_HMM_multi_state_M2_prop	segments_HMM_multi_state_M3_prop	sites_HMM_multi_state_M1	sites_HMM_multi_state_M2	sites_HMM_multi_state_M3	sites_HMM_multi_state_M1_prop	sites_HMM_multi_state_M2_prop	sites_HMM_multi_state_M3_prop	emission_HMM_as_state_T>N_A1	emission_HMM_as_state_T>N_A2	emission_HMM_as_state_T>N_A3	emission_HMM_as_state_T>N_A4	emission_HMM_as_state_T>N_A5	segments_HMM_as_state_A1	segments_HMM_as_state_A2	segments_HMM_as_state_A3	segments_HMM_as_state_A4	segments_HMM_as_state_A5	segments_HMM_as_state_A1_prop	segments_HMM_as_state_A2_prop	segments_HMM_as_state_A3_prop	segments_HMM_as_state_A4_prop	segments_HMM_as_state_A5_prop	sites_HMM_as_state_A1	sites_HMM_as_state_A2	sites_HMM_as_state_A3	sites_HMM_as_state_A4	sites_HMM_as_state_A5	sites_HMM_as_state_A1_prop	sites_HMM_as_state_A2_prop	sites_HMM_as_state_A3_prop	sites_HMM_as_state_A4_prop	sites_HMM_as_state_A5_prop
87191_N2	0.026710009828406885	0.04958109284256468	0.09800007275325559	18	14	1	0.5454545454545454	0.42424242424242425	0.030303030303030304	41206	30049	1	0.5782811272033233	0.4217048388907601	1.4033905916694734e-05	0.9178974888546177	0.639449508994426	0.4956945813501575	0.3094833198331916	0.09008954779861457	14	0	27	3	15	0.23728813559322035	0.0	0.4576271186440678	0.05084745762711865	0.2542372881355932	8399	0	35028	40	11263	0.15346245203727388	0.0	0.6400146172117669	0.0007308605883427736	0.20579207016261647
88305_N2	0.06704243991909727	0.12251493702018433	0.22141020380465362	0	0	20	0.0	0.0	1.0	0	0	93231	0.0	0.0	1.0	0.9448140917127372	0.6421764485649106	0.5024425565624854	0.28218870761630305	0.06076771710690883	33	0	33	18	12	0.34375	0.0	0.34375	0.1875	0.125	28598	0	32434	125	9496	0.4047669596478564	0.0	0.45906047867748007	0.0017692100830821054	0.1344033515915814
88307_N7	0.017718519505653063	0.10711161896005865	0.1868379667488835	15	30	18	0.23809523809523808	0.47619047619047616	0.2857142857142857	25065	40804	29054	0.2640561297051294	0.42986420572463996	0.3060796645702306	0.9454424308626176	0.6663717646135408	0.5076987103620844	0.309850034516166	0.052503001122685	19	2	26	3	13	0.30158730158730157	0.031746031746031744	0.4126984126984127	0.047619047619047616	0.20634920634920634	24566	30	36204	19	12236	0.33626719594825816	0.00041064951064266646	0.4955718294435699	0.0002600780234070221	0.16749024707412224
88308_N2	0.05168489083935698	0.11001363846001118	0.15110719450149057	0	16	19	0.0	0.45714285714285713	0.5428571428571428	0	47126	67308	0.0	0.4118181659297062	0.5881818340702938	0.8477188345508482	0.6201703472673877	0.46057411342824495	0.26945515434179174	0.12824324804259937	9	15	36	19	21	0.09	0.15	0.36	0.19	0.21	11029	6287	38172	14445	18450	0.1247864408313816	0.07113358903861602	0.4318930110994196	0.16343640745392213	0.20875055157666067
88581_N2	0.01782040946861875	0.06783679607467956	0.11760358895537493	15	19	10	0.3409090909090909	0.4318181818181818	0.22727272727272727	14110	38605	16269	0.20454018323089412	0.559622521164328	0.23583729560477792	0.9320160264165225	0.7223285269486028	0.5047002986991498	0.2690653632682722	0.06271499403197729	11	3	27	4	19	0.171875	0.046875	0.421875	0.0625	0.296875	9859	127	24044	175	19062	0.18508645127377174	0.0023842153678637805	0.4513864118497381	0.00328533613682017	0.3578575853718062
88625_N1	0.01784112478993435	0.16448971207547924	0.2702231076360296	0	1	21	0.0	0.045454545454545456	0.9545454545454546	0	385	56262	0.0	0.006796476424170742	0.9932035235758293	0.9643714335361844	0.6923071589420695	0.49586810553366256	0.2512318620671243	0.036183841126492935	19	2	20	3	12	0.3392857142857143	0.03571428571428571	0.35714285714285715	0.05357142857142857	0.21428571428571427	14930	10	17732	37	9789	0.3513106499129371	0.00023530519083250976	0.41724316438420633	0.0008706292060802861	0.23034025130594382
88626_N2	0.05997050454803279	0.137832086200264	0.20704793439680674	2	22	27	0.0392156862745098	0.43137254901960786	0.5294117647058824	2416	32239	47499	0.029408184628867736	0.3924215497723787	0.5781702655987535	0.9053418364662495	0.769779120623068	0.49200111501353094	0.2524530542260303	0.09556412859915817	15	26	39	14	19	0.13274336283185842	0.23008849557522124	0.34513274336283184	0.12389380530973451	0.168141592920354	10856	9710	31288	4695	9949	0.16325303016632078	0.14601942915576407	0.4705103912899636	0.0706036271767572	0.1496135222111943
89374_N2	0.03828283229137378	0.06632210399542875	0.10943800816626978	3	20	0	0.13043478260869565	0.8695652173913043	0.0	4431	96305	0	0.043986261118170264	0.9560137388818297	0.0	0.8927793221549126	0.7204653990140386	0.49884610465765183	0.31642733251096583	0.1099996310956532	19	3	27	6	17	0.2638888888888889	0.041666666666666664	0.375	0.08333333333333333	0.2361111111111111	17022	306	46340	214	11418	0.22605577689243028	0.0040637450199203186	0.6154050464807437	0.002841965471447543	0.15163346613545817
89375_N1	0.04434904535421916	0.08097579589070691	0.11586729593544015	0	20	0	0.0	1.0	0.0	0	47011	0	0.0	1.0	0.0	0.8357195719080667	0.7744654977509967	0.5023727475704688	0.22652090246901338	0.1766262821265607	6	16	25	8	1	0.10714285714285714	0.2857142857142857	0.44642857142857145	0.14285714285714285	0.017857142857142856	649	13184	17027	4952	371	0.017936600060802034	0.36437000801481356	0.47058010667993255	0.13685985131138934	0.010253433933062488
89484_N1	0.0374106446249374	0.08910688199882776	0.13751586756507514	14	18	8	0.35	0.45	0.2	17073	25405	12014	0.3133120458048888	0.46621522425310136	0.22047272994200984	0.9033977124362867	0.7155780756817618	0.4928062713352743	0.2775164627342006	0.09745030158107072	13	4	19	3	14	0.24528301886792453	0.07547169811320754	0.3584905660377358	0.05660377358490566	0.2641509433962264	9839	95	23260	66	9654	0.22927249848534278	0.0022137297851516986	0.5420142610803002	0.0015379596402106538	0.22496155100899473
