Gene Symbol	Name	Role in Cancer
ACVR1	activin A receptor, type I	oncogene
AKT1	v-akt murine thymoma viral oncogene homolog 1	oncogene
AKT2	v-akt murine thymoma viral oncogene homolog 2	oncogene
AR	Androgen Receptor	oncogene
CACNA1D	calcium channel, voltage-dependent, L type, alpha 1D subunit	oncogene
CALR	calreticulin	oncogene
CARD11	caspase recruitment domain family, member 11	oncogene
CCNE1	cyclin E1	oncogene
CD79A	CD79a molecule, immunoglobulin-associated alpha	oncogene
CD79B	CD79b molecule, immunoglobulin-associated beta	oncogene
CDK4	cyclin-dependent kinase 4	oncogene
CHD4	chromodomain helicase DNA binding protein 4	oncogene
CSF3R	colony stimulating factor 3 receptor (granulocyte)	oncogene
CXCR4	C-X-C motif chemokine receptor 4	oncogene
DDR2	discoidin domain receptor 2	oncogene
EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	oncogene
ERBB3	erb-b2 receptor tyrosine kinase 3	oncogene
FGFR4	fibroblast growth factor receptor 4	oncogene
FLT3	fms-related tyrosine kinase 3	oncogene
FLT4	fms-related tyrosine kinase 4	oncogene
FOXA1	forkhead box A1	oncogene
FUBP1	far upstream element (FUSE) binding protein 1	oncogene
GATA2	GATA binding protein 2	oncogene
GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	oncogene
GNAQ	guanine nucleotide binding protein (G protein), q polypeptide	oncogene
GNAS	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1	oncogene
H3F3A	H3 histone, family 3A	oncogene
H3F3B	H3 histone, family 3B (H3.3B)	oncogene
HIF1A	hypoxia inducible factor 1 alpha subunit	oncogene
HIST1H3B	histone cluster 1, H3b	oncogene
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	oncogene
IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	oncogene
IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	oncogene
IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	oncogene
IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	oncogene
IL7R	interleukin 7 receptor	oncogene
JAK3	Janus kinase 3	oncogene
JUN	jun oncogene	oncogene
KDR	vascular endothelial growth factor receptor 2	oncogene
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	oncogene
KRAS	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog	oncogene
MAP2K1	mitogen-activated protein kinase kinase 1	oncogene
MAP2K2	mitogen-activated protein kinase kinase 2	oncogene
MAPK1	mitogen-activated protein kinase 1	oncogene
MDM2	Mdm2 p53 binding protein homolog	oncogene
MDM4	Mdm4 p53 binding protein homolog	oncogene
MET	met proto-oncogene (hepatocyte growth factor receptor)	oncogene
MITF	melanogenesis-associated transcription factor	oncogene
MPL	myeloproliferative leukaemia virus oncogene, thrombopoietin receptor	oncogene
MTOR	mechanistic target of rapamycin	oncogene
MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	oncogene
MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	oncogene
MYD88	myeloid differentiation primary response gene (88)	oncogene
MYOD1	myogenic differentiation 1	oncogene
