nodId,animalId,nodNumber,sex,strain,motherId,fatherId,cleanDiagnosis,cause,numSnvs,numIndels,sisterExchanges,den1sig,den2sig,spont1sig,spont2sig,cosineSigFit,knownDriver,cloneType,cellularityBin
90793_N2,90793,N2,Male,c3h,86690;86691,81567,DN,DEN,137088,1132,8,0.8743253,0.125274,0.0003180419,8.272808e-05,0.997741663037396,Braf,WGD,0.395
91948_N4,91948,N4,Male,c3h,87910;87911,86569,DN,DEN,92935,959,33,0.1503013,0.8494797,0.0001385894,8.049801e-05,0.990385699762288,Kras;Braf,clonal,0.665
92057_N1,92057,N1,Male,c3h,87917,87924,DN,DEN,61389,651,27,0.6459243895,0.3184200423,0.0354974898,0.0001580784,0.996714946859899,Braf,clonal,0.795
92057_N2,92057,N2,Male,c3h,87917,87924,DN,DEN,56383,706,26,0.9306156172,0.0637563242,0.0054998584,0.0001282001,0.996563271701229,Braf,clonal,0.665
92057_N3,92057,N3,Male,c3h,87917,87924,DN,DEN,51681,490,26,0.767027883,0.219210947,0.000667115,0.013094055,0.996170563652052,Kras,clonal,0.665
92058_N1,92058,N1,Male,c3h,87917,87924,DN,DEN,22388,512,32,0.461753058,0.419150265,0.117230928,0.001865749,0.99431987264231,Hras,clonal,0.745
92058_N2,92058,N2,Male,c3h,87917,87924,DN,DEN,30468,882,15,0.9297250071,0.0679397351,0.0020822316,0.0002530262,0.998803525213081,Hras,clonal,0.595
92058_N3,92058,N3,Male,c3h,87917,87924,DN,DEN,92239,467,51,0.3575995,0.6346881,0.007650938,6.153986e-05,0.997035031470911,Braf;Hras;Hras,clonal,0.295
92104_N1,92104,N1,Male,c3h,87573,86567,DN,DEN,73278,744,31,0.84910166,0.14386441,0.00525678,0.00177715,0.998407721590569,Braf,clonal,0.795
92104_N2,92104,N2,Male,c3h,87573,86567,DN,DEN,52169,659,22,0.8705308245,0.1202700577,0.009032064,0.0001670537,0.998849663765038,Hras,clonal,0.665
92104_N3,92104,N3,Male,c3h,87573,86567,DN,DEN,54338,711,36,0.8675209929,0.1280790108,0.0009342811,0.0034657152,0.998583537776504,Hras,clonal,0.665
92105_N1,92105,N1,Male,c3h,87573,86567,DN,DEN,8017,405,7,0.63125459,0.28272357,0.07884207,0.00717977,0.987061317429239,Braf,clonal,0.795
92105_N3,92105,N3,Male,c3h,87573,86567,DN,DEN,48554,413,19,0.937274771,0.062348726,0.0002191741,0.000157329,0.996043091213817,Kras,clonal,0.795
92105_N4,92105,N4,Male,c3h,87573,86567,DN,DEN,73728,639,31,0.4473687604,0.5474203718,0.0002926651,0.0049182026,0.998901636486923,Braf,clonal,0.665
90796_N2,90796,N2,Male,c3h,86690;86691,81567,DN,DEN,47123,974,20,0.9108777774,0.0870469278,0.0016590904,0.0004162044,0.997502725308615,Egfr,clonal,0.795
91100_N3,91100,N3,Male,c3h,87416;87417,87439,DN,DEN,59996,707,25,0.9279565657,0.071597417,0.0002699806,0.0001760367,0.998420031912397,Braf,clonal,0.795
92188_N3,92188,N3,Male,c3h,84408,87439,DN,DEN,52275,812,22,0.5138890815,0.4740831872,0.0117533922,0.0002743391,0.997789060114413,Hras,clonal,0.795
93091_N1,93091,N1,Male,c3h,88884,87925,DN,DEN,12868,622,12,0.88290233,0.1011397,0.01051639,0.00544158,0.996415876753202,Hras,clonal,0.795
93091_N3,93091,N3,Male,c3h,88884,87925,DN,DEN,38058,765,12,0.9123320495,0.084300562,0.0030970706,0.0002703178,0.998800381652383,Hras,clonal,0.795
93091_N8,93091,N8,Male,c3h,88884,87925,DN,DEN,40615,530,20,0.74629573,0.24213562,0.00146497,0.01010367,0.996644151934192,Egfr;Braf,clonal,0.665
93258_N4,93258,N4,Male,c3h,89276;89277,87448,DN,DEN,31248,526,11,0.5407452583,0.4497586105,0.0085629859,0.0009331453,0.997629292027094,Egfr;Hras,clonal,0.665
93100_N6,93100,N6,Male,c3h,89279;89280,87450,DN,DEN,54143,718,31,0.9450429,0.04693331,0.007929803,9.397452e-05,0.996223307086227,Egfr,clonal,0.795
93129_N7,93129,N7,Male,c3h,89071,87452,DN,DEN,61796,859,18,0.9297667262,0.0696847537,0.0002185438,0.0003299764,0.996849432198719,Braf,clonal,0.795
91416_N1,91416,N1,Male,c3h,87533;87915,87441,DN,DEN,120459,766,68,0.8549367098,0.1442506028,0.0001822968,0.0006303906,0.996873993059827,Kras;Kras;Hras,clonal,0.495
91838_N5,91838,N5,Male,c3h,87866;87867,84995,DN,DEN,34391,762,38,0.8922975354,0.0964225458,0.0004845557,0.010795363,0.997184043455688,Hras,clonal,0.795
91932_N2,91932,N2,Male,c3h,87572,86567,DN,DEN,50379,591,26,0.71807232,0.261800914,0.006484892,0.013641874,0.996057058414891,Braf,clonal,0.745
89985_N1,89985,N1,Male,c3h,84409,81568,DN,DEN,120098,1020,31,0.1722444,0.8276481,7.668838e-05,3.080239e-05,0.973366716954537,Braf,clonal,0.395
89985_N2,89985,N2,Male,c3h,84409,81568,DN,DEN,59817,711,36,0.4033281288,0.5953420896,0.0010826267,0.0002471548,0.99907079297341,Braf,clonal,0.795
89985_N4,89985,N4,Male,c3h,84409,81568,DN,DEN,29515,1057,10,0.83748931,0.149514396,0.006955189,0.006041104,0.997118192703579,Hras,clonal,0.795
89986_N1,89986,N1,Male,c3h,84409,81568,DN,DEN,67438,1113,24,0.9580322475,0.0414759279,0.0002056825,0.0002861421,0.994562399588504,Hras,clonal,0.665
89986_N2,89986,N2,Male,c3h,84409,81568,DN,DEN,41704,994,18,0.80022503,0.195980027,0.003455411,0.000339533,0.997218043452116,Braf,clonal,0.795
89986_N3,89986,N3,Male,c3h,84409,81568,DN,DEN,45826,835,14,0.9254925117,0.0738794844,0.0004381054,0.0001898986,0.997122692507916,Hras,clonal,0.795
89986_N4,89986,N4,Male,c3h,84409,81568,DN,DEN,52260,1000,15,0.9084029228,0.068740882,0.0226481277,0.0002080675,0.997763355335428,Egfr,clonal,0.795
89995_N1,89995,N1,Male,c3h,87492;87493,87448,DN,DEN,84576,1247,35,0.9051445,0.06719792,0.0275703,8.725701e-05,0.997394078615738,"",clonal,0.665
89995_N2,89995,N2,Male,c3h,87492;87493,87448,DN,DEN,76388,1362,32,0.8940438749,0.1054693812,0.0002689743,0.0002177696,0.997774291164759,Hras,clonal,0.795
90004_N4,90004,N4,Male,c3h,87487,87441,DN,DEN,55695,742,26,0.658083457,0.334280067,0.003060531,0.004575946,0.997582004512184,Braf,clonal,0.745
90004_N5,90004,N5,Male,c3h,87487,87441,DN,DEN,33734,741,16,0.874864557,0.0962055039,0.0285473535,0.0003825857,0.997573267402094,Hras,clonal,0.665
