Symbol	Name
AES	amino-terminal enhancer of split
ANKRD6	ankyrin repeat domain 6
ARID1A	AT rich interactive domain 1A (SWI-like)
ARR3	arrestin 3, retinal (X-arrestin)
ARRB1	arrestin, beta 1
ARRB2	arrestin, beta 2
AXIN1	axin 1
BCL9	B-cell CLL/lymphoma 9
BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase
CDH1	cadherin 1, type 1, E-cadherin (epithelial)
CDH10	cadherin 10, type 2 (T2-cadherin)
CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)
CDH12	cadherin 12, type 2 (N-cadherin 2)
CDH13	cadherin 13
CDH15	cadherin 15, type 1, M-cadherin (myotubule)
CDH16	cadherin 16, KSP-cadherin
CDH17	cadherin 17, LI cadherin (liver-intestine)
CDH18	cadherin 18, type 2
CDH19	cadherin 19, type 2
CDH2	cadherin 2, type 1, N-cadherin (neuronal)
CDH20	cadherin 20, type 2
CDH22	cadherin 22, type 2
CDH23	cadherin-related 23
CDH24	cadherin 24, type 2
CDH3	cadherin 3, type 1, P-cadherin (placental)
CDH4	cadherin 4, type 1, R-cadherin (retinal)
CDH5	cadherin 5, type 2 (vascular endothelium)
CDH6	cadherin 6, type 2, K-cadherin (fetal kidney)
CDH7	cadherin 7, type 2
CDH8	cadherin 8, type 2
CDH9	cadherin 9, type 2 (T1-cadherin)
CDHR1	cadherin-related family member 1
CDHR2	cadherin-related family member 2
CELSR1	cadherin, EGF LAG seven-pass G-type receptor 1
CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2
CELSR3	cadherin, EGF LAG seven-pass G-type receptor 3
CER1	cerberus 1, DAN family BMP antagonist
CHD1L	chromodomain helicase DNA binding protein 1-like
CREBBP	CREB binding protein
CSNK1A1	casein kinase 1, alpha 1
CSNK1A1L	casein kinase 1, alpha 1-like
CSNK1D	casein kinase 1, delta
CSNK1G2	casein kinase 1, gamma 2
CSNK1G3	casein kinase 1, gamma 3
CSNK2A1	casein kinase 2, alpha 1 polypeptide
CSNK2A2	casein kinase 2, alpha prime polypeptide
CSNK2B	casein kinase 2, beta polypeptide
CTBP1	C-terminal binding protein 1
CTBP2	C-terminal binding protein 2
CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa
CTNNA2	catenin (cadherin-associated protein), alpha 2
CTNNA3	catenin (cadherin-associated protein), alpha 3
CTNNAL1	catenin (cadherin-associated protein), alpha-like 1
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa
DACT1	dishevelled-binding antagonist of beta-catenin 1
DCHS1	dachsous cadherin-related 1
DVL1	dishevelled segment polarity protein 1
DVL2	dishevelled segment polarity protein 2
DVL3	dishevelled segment polarity protein 3
EP300	E1A binding protein p300
EP400	E1A binding protein p400
FAT1	FAT atypical cadherin 1
FAT2	FAT atypical cadherin 2
FAT3	FAT atypical cadherin 3
FBXW11	F-box and WD repeat domain containing 11
FRZB	frizzled-related protein
FZD1	frizzled class receptor 1
FZD10	frizzled class receptor 10
FZD2	frizzled class receptor 2
FZD3	frizzled class receptor 3
FZD4	frizzled class receptor 4
FZD5	frizzled class receptor 5
FZD6	frizzled class receptor 6
FZD7	frizzled class receptor 7
FZD8	frizzled class receptor 8
FZD9	frizzled class receptor 9
GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
GNA14	guanine nucleotide binding protein (G protein), alpha 14
GNA15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)
GNAQ	guanine nucleotide binding protein (G protein), q polypeptide
GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1
GNB2	guanine nucleotide binding protein (G protein), beta polypeptide 2
GNB3	guanine nucleotide binding protein (G protein), beta polypeptide 3
GNB4	guanine nucleotide binding protein (G protein), beta polypeptide 4
GNG10	guanine nucleotide binding protein (G protein), gamma 10
GNG12	guanine nucleotide binding protein (G protein), gamma 12
GNG13	guanine nucleotide binding protein (G protein), gamma 13
GNG2	guanine nucleotide binding protein (G protein), gamma 2
GNG3	guanine nucleotide binding protein (G protein), gamma 3
GNG4	guanine nucleotide binding protein (G protein), gamma 4
GNG5	guanine nucleotide binding protein (G protein), gamma 5
GNG7	guanine nucleotide binding protein (G protein), gamma 7
GNG8	guanine nucleotide binding protein (G protein), gamma 8
GSK3B	glycogen synthase kinase 3 beta
HDAC1	histone deacetylase 1
HDAC2	histone deacetylase 2
HDAC3	histone deacetylase 3
HDAC8	histone deacetylase 8
HELLS	helicase, lymphoid-specific
HLTF	helicase-like transcription factor
