sample	n_mut	mu_subclon	mu_clon	w_subclon	w_clon
89985_N1	116617	0.176213478150683	0.341223873704722	0.469991510671686	0.530008489328314
89986_N1	65575	0.133802381276941	0.344024412268607	0.127853602744949	0.872146397255051
90004_N1	76730	0.140293823141024	0.298541227365271	0.169190668578131	0.830809331421869
90004_N4	54116	0.137069227004433	0.364211074472892	0.181572917436618	0.818427082563382
90400_N5	41068	0.138993020858146	0.338856430414913	0.149045485536184	0.850954514463816
90446_N3	85752	0.175163544014415	0.381115554896693	0.218000746338278	0.781999253661722
90732_N2	44956	0.15740923146296	0.361146582193861	0.201396921434291	0.798603078565709
90789_N2	72263	0.127114477231846	0.372490807394997	0.133194027372238	0.866805972627762
90791_N3	68411	0.140042809044308	0.372458399486844	0.0878806039964333	0.912119396003567
90801_N1	66851	0.256949034125997	0.315404959530312	0.317377451347025	0.682622548652975
90802_N1	54265	0.269307812157374	0.362894366074508	0.234607942504377	0.765392057495623
90803_N3	13464	0.153365991325886	0.368320515987027	0.199643493761141	0.800356506238859
90803_N7	65250	0.117467716516114	0.324445757245125	0.199172413793103	0.800827586206897
90880_N1	80242	0.130783511988171	0.30210998283047	0.160913237456694	0.839086762543306
90886_N5	71561	0.162915055703871	0.347651901823673	0.205433126982574	0.794566873017426
91097_N1	44222	0.155408322341682	0.376794146281682	0.168536022794084	0.831463977205916
91113_N2	86939	0.136177102140653	0.287608444590285	0.106039867033207	0.893960132966793
91113_N6	19758	0.136162558057451	0.269514764325381	0.114940783480109	0.885059216519891
91113_N7	49202	0.132503375140353	0.281914751999347	0.120686150969473	0.879313849030527
91213_N2	53697	0.188111956502356	0.385266553406098	0.242676499618228	0.757323500381772
91215_N9	35055	0.137743479704007	0.376877095277831	0.1157324204821	0.8842675795179
91216_N4	43457	0.0906315552622667	0.332497405007094	0.0766504820857399	0.92334951791426
91217_N1	50155	0.115353194732897	0.391493537665667	0.109360980959027	0.890639019040973
91218_N1	68957	0.136598803697985	0.39019352702545	0.122192090723204	0.877807909276796
91539_N4	66384	0.203263967412043	0.398911942990929	0.360538684020246	0.639461315979754
91540_N1	71608	0.0883839607933861	0.213127951419291	0.135878672773992	0.864121327226008
91613_N2	51686	0.125331483323067	0.35605920757938	0.160681809387455	0.839318190612545
91615_N2	65275	0.184739721026544	0.366623826494128	0.278667177326695	0.721332822673305
91838_N4	34287	0.129690687176929	0.403150095563109	0.100067080817803	0.899932919182197
91838_N5	33389	0.114962424560246	0.394974170276265	0.0750546587199377	0.924945341280062
91842_N1	85799	0.189090783947391	0.373186834653853	0.310749542535461	0.689250457464539
91842_N5	48200	0.150431386264479	0.324031056092799	0.186390041493776	0.813609958506224
91931_N3	51805	0.118660946099166	0.255990097699843	0.157552359810829	0.842447640189171
91931_N5	65497	0.166885252870259	0.348279867837947	0.19251263416645	0.80748736583355
91931_N6	62965	0.109528490893824	0.362020196838784	0.1056618756452	0.8943381243548
91932_N3	35289	0.320461775501557	0.403342831651795	0.479781234945734	0.520218765054266
91932_N5	53326	0.133410236473857	0.319809630358647	0.20220905374489	0.79779094625511
91948_N2	57268	0.200755719925171	0.408800036089718	0.196549556471328	0.803450443528672
92057_N1	59646	0.180531387785629	0.389689750810109	0.177715186265634	0.822284813734366
92105_N3	47098	0.130718617615025	0.347136074409949	0.146354409953714	0.853645590046286
92105_N8	52570	0.18339857928329	0.383849572714051	0.228704584363706	0.771295415636294
92186_N3	45422	0.185349570322893	0.374997847626107	0.216216811236846	0.783783188763154
92189_N2	46778	0.107114187640586	0.334231442583944	0.0875625293941596	0.91243747060584
92189_N7	66486	0.156495468472494	0.342724084773019	0.187648527509551	0.812351472490449
92294_N2	55081	0.16306447328158	0.348982307664018	0.214683829269621	0.785316170730379
93094_N2	48792	0.191889425295191	0.382976317141858	0.27721757665191	0.72278242334809
93098_N1	50889	0.187192897319147	0.394088502008901	0.236475466210772	0.763524533789228
93129_N7	60061	0.191238950864458	0.385093647437431	0.280215114633456	0.719784885366544
93244_N5	46942	0.14068061182419	0.333804833553368	0.219590132503941	0.780409867496059
93258_N3	43115	0.146270974780105	0.335531300699072	0.209903745796127	0.790096254203873
93258_N4	30303	0.16862718989675	0.340238416995084	0.231099231099231	0.768900768900769
93258_N9	95621	0.185598198347873	0.374233701630099	0.287844720302026	0.712155279697974
93260_N3	71035	0.165349617194238	0.358134636807799	0.224987682128528	0.775012317871472
94314_N5	40789	0.163438502979632	0.329045156126774	0.223785824609576	0.776214175390424
94315_N8	59144	0.199239512031733	0.393444981034434	0.2620722304883	0.7379277695117
94316_N3	61019	0.178095670620601	0.362277391711864	0.264966649732051	0.735033350267949
