sample	n_mut	mu_subclon	mu_clon	w_subclon	w_clon
89985_N1	1419	0.17284963011131	0.347211389060148	0.222692036645525	0.777307963354475
89986_N1	1275	0.146887112587906	0.347773177420486	0.133333333333333	0.866666666666667
90004_N1	1571	0.148115942177932	0.307107709773933	0.220241884150223	0.779758115849777
90004_N4	909	0.138208805179642	0.366731335529326	0.147414741474147	0.852585258525853
90400_N5	608	0.137360312562494	0.343685562884218	0.129934210526316	0.870065789473684
90446_N3	1578	0.188236315279865	0.384715242261699	0.266793409378961	0.733206590621039
90732_N2	801	0.159275247002044	0.360175176385923	0.183520599250936	0.816479400749064
90789_N2	1323	0.130287236598181	0.373336484682927	0.133030990173847	0.866969009826153
90791_N3	1324	0.132653794905242	0.36967461547809	0.0702416918429003	0.9297583081571
90801_N1	1177	0.0995424293421329	0.296348938331331	0.0637213254035684	0.936278674596432
90802_N1	1009	0.319855394825064	0.409786955688959	1	0
90803_N3	243	0.150507888344415	0.37055866788402	0.197530864197531	0.802469135802469
90803_N7	1296	0.126834389942276	0.332248156205678	0.210648148148148	0.789351851851852
90880_N1	1534	0.140682504918718	0.307174792548557	0.179921773142112	0.820078226857888
90886_N5	1453	0.162945988559805	0.356215391570543	0.217481073640743	0.782518926359257
91097_N1	798	0.16554707527743	0.381164670982471	0.161654135338346	0.838345864661654
91113_N2	1748	0.268595922132138	0.329571106719257	1	0
91113_N6	322	0.145152514487401	0.282492464711078	0.145962732919255	0.854037267080745
91113_N7	941	0.185029103445969	0.309271419905042	0.317747077577046	0.682252922422954
91213_N2	937	0.184089540223133	0.386068193587931	0.226254002134472	0.773745997865528
91215_N9	712	0.142212042108376	0.37632975911619	0.115168539325843	0.884831460674157
91216_N4	765	0.221969991810071	0.344542225786809	0.116339869281046	0.883660130718954
91217_N1	791	0.121512900080511	0.395917322870338	0.0872313527180784	0.912768647281922
91218_N1	1254	0.137251669649816	0.388984896035791	0.104465709728868	0.895534290271132
91539_N4	984	0.204852446750488	0.402711344663226	0.267276422764228	0.732723577235772
91540_N1	1310	0.0987387902744347	0.216783272761646	0.213740458015267	0.786259541984733
91613_N2	1007	0.136283516736969	0.358078396403581	0.16583912611718	0.83416087388282
91615_N2	1223	0.180822343779772	0.362862149888469	0.285363859362224	0.714636140637776
91838_N4	669	0.150075486221406	0.405077625310539	0.104633781763827	0.895366218236173
91838_N5	654	0.125795186192315	0.398142194243688	0.0657492354740061	0.934250764525994
91842_N1	1527	0.189965959829135	0.378188811490996	0.314996725605763	0.685003274394237
91842_N5	887	0.257657681054944	0.361841693152575	0.668545659526494	0.331454340473506
91931_N3	1007	0.114551770392966	0.253865705813357	0.159880834160874	0.840119165839126
91931_N5	1268	0.15847176901996	0.343597313151737	0.154574132492114	0.845425867507886
91931_N6	1181	0.110756178897829	0.357440300611411	0.101608806096528	0.898391193903472
91932_N3	647	0.328348254192956	0.403781450206284	0.479134466769706	0.520865533230294
91932_N5	1011	0.140944460629671	0.326355388930584	0.224530168150346	0.775469831849654
91948_N2	1057	0.198864261241114	0.4078555926403	0.164616840113529	0.835383159886471
92057_N1	976	0.169526836314731	0.399599721257676	0.120901639344262	0.879098360655738
92105_N3	843	0.152562838226458	0.354868492516393	0.167259786476868	0.832740213523132
92105_N8	1019	0.179220491521106	0.376389297397428	0.178606476938175	0.821393523061825
92186_N3	870	0.174497857889932	0.370069287438858	0.163218390804598	0.836781609195402
92189_N2	807	0.115411955101208	0.33781603403975	0.0954151177199504	0.90458488228005
92189_N7	1259	0.158699295294308	0.34509990346213	0.18109610802224	0.81890389197776
92294_N2	1050	0.180593756864648	0.355641209832765	0.240952380952381	0.759047619047619
93094_N2	1002	0.187144254413125	0.379207162060983	0.287425149700599	0.712574850299401
93098_N1	1012	0.181260913582498	0.384039041870559	0.226284584980237	0.773715415019763
93129_N7	1161	0.191224458171599	0.386832098565579	0.315245478036176	0.684754521963824
93244_N5	836	0.14034160130202	0.336611927933762	0.228468899521531	0.771531100478469
93258_N3	839	0.160493763645155	0.339069570787292	0.259833134684148	0.740166865315852
93258_N4	451	0.296903026762561	0.372335293516198	0.452328159645233	0.547671840354767
93258_N9	1652	0.196944032604588	0.381704155697243	0.218523002421308	0.781476997578692
93260_N3	1377	0.167465625165358	0.359316698766925	0.232389251997095	0.767610748002905
94314_N5	664	0.192471468603969	0.350843344371374	0.311746987951807	0.688253012048193
94315_N8	1174	0.20091981426246	0.395480430578591	0.303236797274276	0.696763202725724
94316_N3	1076	0.185038309561203	0.366990350800131	0.281598513011152	0.718401486988848
