sample	n_mut	mu_subclon	mu_clon	w_subclon	w_clon
89985_N1	1205	0.169607559518424	0.354327209625172	0.254771784232365	0.745228215767635
89986_N1	1028	0.149506417014438	0.345430273067273	0.130350194552529	0.869649805447471
90004_N1	1212	0.145053899430181	0.29856110564726	0.195544554455446	0.804455445544555
90004_N4	789	0.134531085390482	0.370575056017329	0.144486692015209	0.855513307984791
90400_N5	550	0.123401765755147	0.347023333203737	0.114545454545455	0.885454545454545
90446_N3	1263	0.165527922599443	0.376474828225403	0.225653206650831	0.774346793349169
90732_N2	658	0.164753414265385	0.356551564306599	0.193009118541033	0.806990881458967
90789_N2	1106	0.25351832923102	0.38762798214131	0.257685352622061	0.742314647377939
90791_N3	1104	0.153092275927775	0.378579276857648	0.106884057971014	0.893115942028985
90801_N1	982	0.259114883085412	0.322292309878025	0.397148676171079	0.602851323828921
90802_N1	847	0.291836369118564	0.361661909215606	0.358913813459268	0.641086186540732
90803_N3	202	0.28423385244053	0.412139718210081	0.475247524752475	0.524752475247525
90803_N7	993	0.128971656431175	0.337111890281216	0.245720040281974	0.754279959718026
90880_N1	1196	0.131790280299074	0.308152097127971	0.177257525083612	0.822742474916388
90886_N5	1081	0.152709180524925	0.351546716611732	0.178538390379278	0.821461609620722
91097_N1	647	0.169758408086761	0.383003967946506	0.180834621329212	0.819165378670788
91113_N2	1394	0.12582449771293	0.285704776132925	0.0502152080344333	0.949784791965567
91113_N6	281	0.140986836139938	0.270891036583175	0.138790035587189	0.861209964412811
91113_N7	790	0.25260442400942	0.324265509317139	1	0
91213_N2	809	0.20194602388787	0.392165065564083	0.274412855377009	0.725587144622991
91215_N9	509	0.135735924405491	0.382016796254076	0.110019646365422	0.889980353634578
91216_N4	666	0.0918957632895624	0.33445501236937	0.0840840840840841	0.915915915915916
91217_N1	648	0.118490777432972	0.390881725656811	0.087962962962963	0.912037037037037
91218_N1	1055	0.136854494424014	0.389614042030616	0.0995260663507109	0.900473933649289
91539_N4	757	0.212414297733576	0.400247496838559	0.291941875825627	0.708058124174373
91540_N1	1183	0.0905021233178314	0.216984620202224	0.158918005071851	0.841081994928149
91613_N2	786	0.116493114239822	0.348705504247033	0.11323155216285	0.88676844783715
91615_N2	990	0.184144592832207	0.367322291964762	0.28989898989899	0.71010101010101
91838_N4	589	0.143990042575407	0.405486745871823	0.0730050933786078	0.926994906621392
91838_N5	576	0.305692115826118	0.410827149366969	0.151041666666667	0.848958333333333
91842_N1	1191	0.188074814604693	0.37590543497841	0.325776658270361	0.674223341729639
91842_N5	755	0.150712576708334	0.329807291515368	0.166887417218543	0.833112582781457
91931_N3	794	0.110315848060707	0.245235778170612	0.113350125944584	0.886649874055416
91931_N5	1021	0.292351989585459	0.366837042354775	0.501469147894221	0.498530852105779
91931_N6	959	0.108833174729641	0.358801641436647	0.0990615224191867	0.900938477580813
91932_N3	558	0.163622751850912	0.385010039163553	0.10752688172043	0.89247311827957
91932_N5	765	0.155891370364357	0.335461829058314	0.295424836601307	0.704575163398693
91948_N2	975	0.189795276896375	0.402816368255996	0.165128205128205	0.834871794871795
92057_N1	825	0.213216048425636	0.409520720283724	0.151515151515152	0.848484848484849
92105_N3	718	0.112995213944473	0.343889582512658	0.096100278551532	0.903899721448468
92105_N8	797	0.180977121764324	0.382389599961473	0.183186951066499	0.816813048933501
92186_N3	711	0.182916940642345	0.374060897718858	0.158931082981716	0.841068917018284
92189_N2	660	0.111185414027327	0.336690078335388	0.107575757575758	0.892424242424242
92189_N7	927	0.160726845704916	0.345024419672016	0.160733549083064	0.839266450916936
92294_N2	847	0.175439830701787	0.360117501858916	0.268004722550177	0.731995277449823
93094_N2	708	0.189841212200341	0.382957327619598	0.258474576271186	0.741525423728814
93098_N1	749	0.198688226891552	0.398259316947057	0.244325767690254	0.755674232309746
93129_N7	893	0.192674021517365	0.383745948822677	0.287793952967525	0.712206047032475
93244_N5	617	0.263717191763131	0.359160324800723	0.66612641815235	0.33387358184765
93258_N3	662	0.155871467322188	0.35015959113659	0.265861027190332	0.734138972809668
93258_N4	399	0.147365659985562	0.341890849024711	0.117794486215539	0.882205513784461
93258_N9	1323	0.178225561961384	0.378155748191677	0.167044595616024	0.832955404383976
93260_N3	1129	0.159534484030434	0.359046679966236	0.200177147918512	0.799822852081488
94314_N5	573	0.171262048216171	0.343758495986571	0.198952879581152	0.801047120418848
94315_N8	912	0.195914927432719	0.391480926570968	0.25219298245614	0.74780701754386
94316_N3	803	0.18742649595853	0.368025603510583	0.283935242839352	0.716064757160648
