sample	n_mut	mu_subclon	mu_clon	w_subclon	w_clon
89985_N1	62	NA	NA	NA	NA
89986_N1	59	NA	NA	NA	NA
90004_N1	56	NA	NA	NA	NA
90004_N4	45	NA	NA	NA	NA
90400_N5	29	NA	NA	NA	NA
90446_N3	48	NA	NA	NA	NA
90732_N2	36	NA	NA	NA	NA
90789_N2	61	NA	NA	NA	NA
90791_N3	59	NA	NA	NA	NA
90801_N1	57	NA	NA	NA	NA
90802_N1	54	NA	NA	NA	NA
90803_N3	4	NA	NA	NA	NA
90803_N7	69	NA	NA	NA	NA
90880_N1	62	NA	NA	NA	NA
90886_N5	60	NA	NA	NA	NA
91097_N1	27	NA	NA	NA	NA
91113_N2	103	0.211644040969051	0.335770787100031	0.504854368932039	0.495145631067961
91113_N6	32	NA	NA	NA	NA
91113_N7	33	NA	NA	NA	NA
91213_N2	42	NA	NA	NA	NA
91215_N9	29	NA	NA	NA	NA
91216_N4	32	NA	NA	NA	NA
91217_N1	34	NA	NA	NA	NA
91218_N1	59	NA	NA	NA	NA
91539_N4	51	NA	NA	NA	NA
91540_N1	64	NA	NA	NA	NA
91613_N2	41	NA	NA	NA	NA
91615_N2	41	NA	NA	NA	NA
91838_N4	25	NA	NA	NA	NA
91838_N5	25	NA	NA	NA	NA
91842_N1	68	NA	NA	NA	NA
91842_N5	49	NA	NA	NA	NA
91931_N3	49	NA	NA	NA	NA
91931_N5	53	NA	NA	NA	NA
91931_N6	57	NA	NA	NA	NA
91932_N3	22	NA	NA	NA	NA
91932_N5	57	NA	NA	NA	NA
91948_N2	56	NA	NA	NA	NA
92057_N1	49	NA	NA	NA	NA
92105_N3	31	NA	NA	NA	NA
92105_N8	36	NA	NA	NA	NA
92186_N3	33	NA	NA	NA	NA
92189_N2	38	NA	NA	NA	NA
92189_N7	52	NA	NA	NA	NA
92294_N2	47	NA	NA	NA	NA
93094_N2	41	NA	NA	NA	NA
93098_N1	67	NA	NA	NA	NA
93129_N7	65	NA	NA	NA	NA
93244_N5	34	NA	NA	NA	NA
93258_N3	25	NA	NA	NA	NA
93258_N4	23	NA	NA	NA	NA
93258_N9	75	NA	NA	NA	NA
93260_N3	57	NA	NA	NA	NA
94314_N5	28	NA	NA	NA	NA
94315_N8	48	NA	NA	NA	NA
94316_N3	43	NA	NA	NA	NA
