sample	n_mut	mu_subclon	mu_clon	w_subclon	w_clon
89985_N1	211	0.314366062841936	0.373471803271561	0.203791469194313	0.796208530805687
89986_N1	158	0.132777869185959	0.364004580804612	0.0569620253164557	0.943037974683544
90004_N1	182	0.290620763486496	0.313865347751541	0	1
90004_N4	167	0.173227535206187	0.39309978406984	0.0598802395209581	0.940119760479042
90400_N5	136	0.315398837303774	0.345645114368214	0.0808823529411765	0.919117647058823
90446_N3	228	0.153012139492723	0.405435791183038	0.0263157894736842	0.973684210526316
90732_N2	111	0.11210313600315	0.370613245652695	0.045045045045045	0.954954954954955
90789_N2	189	0.242363637890455	0.400269481919674	0.0687830687830688	0.931216931216931
90791_N3	185	0.38311000987738	0.436368217540418	0.956756756756757	0.0432432432432432
90801_N1	174	0.289016413744578	0.35992386951595	0.798850574712644	0.201149425287356
90802_N1	156	0.128117517306742	0.357991354156049	0.0512820512820513	0.948717948717949
90803_N3	35	NA	NA	NA	NA
90803_N7	200	0.105824790833508	0.346156789291464	0.155	0.845
90880_N1	198	0.120636234977767	0.320278473013113	0.0252525252525253	0.974747474747475
90886_N5	164	0.304601409484683	0.355242225210725	0.115853658536585	0.884146341463415
91097_N1	124	0.116650854019511	0.404893797590985	0.032258064516129	0.967741935483871
91113_N2	215	0.270746828122507	0.314653095938347	0.869767441860465	0.130232558139535
91113_N6	72	NA	NA	NA	NA
91113_N7	135	0.299885266523401	0.436417206155067	0.940740740740741	0.0592592592592593
91213_N2	121	0.37925102985898	0.419556059051219	1	0
91215_N9	97	NA	NA	NA	NA
91216_N4	111	0.345795636601847	0.423359711077851	0.981981981981982	0.018018018018018
91217_N1	177	0.169460791628394	0.41817749609388	0.0734463276836158	0.926553672316384
91218_N1	213	0.139544567438318	0.406713108772199	0.028169014084507	0.971830985915493
91539_N4	158	0.254102683913823	0.414293925836564	0.0569620253164557	0.943037974683544
91540_N1	216	0.197262046164994	0.24220869324397	0.509259259259259	0.490740740740741
91613_N2	150	0.10299595704242	0.381368496847361	0.0733333333333333	0.926666666666667
91615_N2	170	0.196788802347194	0.384078644966407	0.111764705882353	0.888235294117647
91838_N4	110	0.382279828661957	0.421174124157017	0.245454545454545	0.754545454545455
91838_N5	104	0.405976476449518	0.407202241842617	0.182692307692308	0.817307692307692
91842_N1	251	0.322952237636732	0.401671090470109	0.282868525896414	0.717131474103586
91842_N5	133	0.254239287526579	0.346872407995179	0.0300751879699248	0.969924812030075
91931_N3	144	0.211715082236462	0.265529346855584	0	1
91931_N5	163	0.329303905920757	0.361884186440134	0	1
91931_N6	147	0.107234937325153	0.385896788294375	0.0680272108843537	0.931972789115646
91932_N3	91	NA	NA	NA	NA
91932_N5	128	0.260678648054188	0.354852917191493	0.28125	0.71875
91948_N2	183	0.336552249889081	0.436735348889876	0.256830601092896	0.743169398907104
92057_N1	186	0.101560816944932	0.414499965203931	0.021505376344086	0.978494623655914
92105_N3	144	0.0926587047532894	0.367129077257707	0.0277777777777778	0.972222222222222
92105_N8	132	0.0968759779011236	0.39983275015325	0.0151515151515152	0.984848484848485
92186_N3	136	0.15945245964787	0.37745150198936	0.0588235294117647	0.941176470588235
92189_N2	137	0.139337337212597	0.359362943262816	0.0364963503649635	0.963503649635037
92189_N7	208	0.347278603610629	0.347801313674276	0	1
92294_N2	142	0.0895518699736556	0.365422158603932	0.0422535211267606	0.957746478873239
93094_N2	135	0.24893307575113	0.397039277219722	0.118518518518519	0.881481481481482
93098_N1	151	0.119954848108996	0.410325218612521	0.0463576158940397	0.95364238410596
93129_N7	165	0.346423651382318	0.38900836821903	0.0787878787878788	0.921212121212121
93244_N5	146	0.113616861228251	0.347087192654264	0.089041095890411	0.910958904109589
93258_N3	144	0.266753720619068	0.365627302260999	0.208333333333333	0.791666666666667
93258_N4	107	0.307295559464975	0.361143006859425	0.0747663551401869	0.925233644859813
93258_N9	249	0.321652621606188	0.387663352301798	0.0963855421686747	0.903614457831325
93260_N3	201	0.0817852673747061	0.364586087283592	0.0398009950248756	0.960199004975124
94314_N5	118	0.26830799878029	0.383520980921036	0.254237288135593	0.745762711864407
94315_N8	136	0.300883828934581	0.408322451121259	0.0588235294117647	0.941176470588235
94316_N3	185	0.280198154539551	0.370498023264389	0.0864864864864865	0.913513513513514
