simulation,clone id,clone fitness,"birth, death rates",clone proportion,clone size
3,BABBB,1.0,"(0.5, 0.5, 0.0)",1.0,2
12,BBBAA,1.0,"(0.5, 0.5, 0.0)",1.0,2
15,BBAAB,1.0,"(0.5, 0.5, 0.0)",1.0,4
31,BBABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.5206512711016652,79371464
31,BBBBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.47934872889833485,73075036
33,BAABA,1.6,"(0.8, 0.19999999999999996, 0.0)",1.0,104534743
34,ABBBA,1.0,"(0.5, 0.5, 0.0)",1.0,2
51,BBBAB,1.0,"(0.5, 0.5, 0.0)",1.0,12
53,BABBA,1.0,"(0.5, 0.5, 0.0)",1.0,6
58,ABBBA,1.0,"(0.5, 0.5, 0.0)",1.0,4
63,BBABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.28834931946657855,43172883
63,BBABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1901115197504992,28464303
63,BBBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.03828599805692119,5732342
63,BBBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.48325316272600105,72354713
65,ABAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.5046440386266402,57955995
65,ABBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.18227805895893098,20933778
65,ABBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.21494043230224366,24684898
65,ABBBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.09813747011218518,11270627
67,AABAB,1.0,"(0.5, 0.5, 0.0)",1.0,8
70,AAABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.3739285019956882,50896510
70,AABBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.3853392020476877,52449654
70,AABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.24073229595662415,32766782
77,ABBBA,1.0,"(0.5, 0.5, 0.0)",1.0,8
80,AAAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.25368508452533267,26976260
80,AAABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.4931041505285977,52435506
80,AAABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.25321042640162195,26925786
80,ABABB,1.0,"(0.5, 0.5, 0.0)",3.385444477074278e-07,36
85,BABAB,1.0,"(0.5, 0.5, 0.0)",1.0,4
86,BAABB,1.0,"(0.5, 0.5, 0.0)",1.4848386834133373e-07,15
86,BBAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1997531307204957,20179276
86,BBABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2775340294092099,28036786
86,BBABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.15276552937097532,15432538
86,BBBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.09180821922554279,9274565
86,BBBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.278138942789908,28097895
89,AAABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.0731655437362787,10308891
89,AABAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2929420579332306,41274999
89,AABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.02602207025163074,3666462
89,ABAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.21569672371962084,30391273
89,ABABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.15315038129630174,21578608
89,ABABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.13402309201084212,18883608
89,ABBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.10500013105209523,14794326
91,BABAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.19535422222924662,21272191
91,BABBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.11392275075376969,12405089
91,BABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.6907230270169837,75213077
92,AAAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.01858556058964473,2816307
92,AABAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.0863657166624307,13087169
92,AABAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.21462413174522335,32522422
92,AABBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.19327452775302081,29287274
92,AABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.10797929791604204,16362318
