s,efr,repair,duplex rate,r-u,MRCA 0,MRCA 1,MRCA 2,MRCA 3,MRCA 4,MRCA 5-300,egfr_c3h_sd_mse,braf_c3h_sd_mse,hras1_c3h_sd_mse,hras0_c3h_sd_mse,MRCA 0 all 4,MRCA 1 all 4,MRCA 2 all 4,MRCA 3 all 4
0.6,0.05,0.2,0.05,0.15,0.06435673763191606,0.5213383761361556,0.23913255657902763,0.10282437625815898,0.04282925638992253,0.02951869700481913,0.07773155489029998,0.02048130299518087,0.03501050583880315,0.0664747742139971,0.3583886255924171,0.36246094801259027,0.38126578403612155,0.38223777883246324
0.6,0.05,0.2,0.15,0.05,0.15803532194117617,0.47267412867772307,0.21378316060769142,0.09106484247322712,0.0379733085806544,0.02646923771952779,0.06071997550094835,0.0720181177430293,0.08774393782168442,0.01353076228047221,0.3573794051487128,0.3637996949881965,0.38053996628097647,0.38288874430709174
0.6,0.05,0.3,0.05,0.25,0.07260475947692605,0.518940072480743,0.23622383596753524,0.10143859117278252,0.041986468424026126,0.028806272477987074,0.07677882413657348,0.02119372752201293,0.036021326413059725,0.058476603616648096,0.37018409565382426,0.36512214551248007,0.37814268214431546,0.3879644094274265
0.6,0.05,0.3,0.15,0.15,0.17401869973628578,0.46492709718196285,0.20930954819867925,0.08937406010940871,0.03687640302508555,0.025494191748577904,0.06421039962827614,0.08757530132116767,0.10278554100769254,0.014505808251422097,0.35997870874819965,0.36656939610214584,0.377144344657035,0.38816070231055294
0.6,0.05,0.3,0.25,0.05,0.24179761524299945,0.42934628490149035,0.1907895625244755,0.0814229320177709,0.033340685358816353,0.02330291995444745,0.11406136131767977,0.1542711786041405,0.16803530295544747,0.01669708004555255,0.35906027774675153,0.367063658475216,0.3770348700042467,0.38714135662557353
0.6,0.05,0.4,0.05,0.35,0.08396345305608066,0.5155875866414619,0.2333884688090737,0.09818840579710145,0.04066635160680529,0.028205734089477002,0.07513557830850243,0.021794265910523,0.037421574861414904,0.04752334545134437,0.36688555347091933,0.3673138911379642,0.379096216799973,0.3872934381517728
0.6,0.05,0.4,0.15,0.25,0.19316550031809507,0.4569117513405435,0.20454421521403254,0.08543124602381169,0.03529946378260474,0.02464782332091248,0.07389741724237815,0.1063388374912082,0.12110459672374557,0.015352176679087521,0.3614692136382171,0.3677712800519818,0.37812138985159516,0.3851063829787234
0.6,0.05,0.4,0.25,0.15,0.2632623610474938,0.41932751173431443,0.18552776094997464,0.07757206814521492,0.031777459280820736,0.022532838842181473,0.13362048074671948,0.1756755583335963,0.1891702750079241,0.017467161157818527,0.35929432013769363,0.368867381576011,0.3791712017839603,0.38425396825396824
0.6,0.05,0.4,0.35,0.05,0.3115751602019415,0.39354135406908786,0.1727942700345688,0.07175720597866185,0.02947881521027282,0.020853194505467177,0.1802987719844796,0.22439211296762435,0.23683553349096567,0.019146805494532824,0.3600638552614075,0.36944546842909054,0.3782863174054884,0.3825092421441775
0.6,0.05,0.5,0.05,0.45,0.09732659623334865,0.5092237023426734,0.23008727606798346,0.09613229214515388,0.039632521819017,0.02759761139182361,0.07145798711041086,0.023572888408758243,0.042011425731598176,0.03494811235083879,0.3664338304700774,0.3693914737772646,0.3808344979037732,0.3867545871559633
0.6,0.05,0.5,0.15,0.35,0.21696345211566115,0.4445512099714459,0.1983521763130456,0.08251385112342322,0.03395825240733547,0.023661058069088654,0.09175199017358475,0.12980739866871677,0.14407525302347102,0.016338941930911347,0.3625969783585137,0.37050265969677926,0.37920016491445063,0.3851172778328378
0.6,0.05,0.5,0.25,0.25,0.28848724985520424,0.40589900564568077,0.17939515976248085,0.07429239538169241,0.030539722749982408,0.021386466604959322,0.15745603642721206,0.20104199096343503,0.21406972286870504,0.01861353339504068,0.3617719903932753,0.37105098217024285,0.3788546255506608,0.38550091074681236
0.6,0.05,0.5,0.35,0.15,0.3367955186096199,0.3796568935490242,0.16702425624360379,0.06847765588810888,0.028143347038440132,0.019902328671203118,0.20484780245072642,0.24996472320273114,0.2618522636180355,0.020097671328796883,0.36283551456672974,0.3721788066159867,0.3809894923544113,0.383324593602517
0.6,0.05,0.5,0.45,0.05,0.37188764871826324,0.3609330921133325,0.1575723660002453,0.06442797129890837,0.02648948239911689,0.018689439470133695,0.24013387379883894,0.28578852886928685,0.2966949892995281,0.021310560529866306,0.3634873845646438,0.37279909946265105,0.3796643152517636,0.38235469093937774
0.6,0.05,0.6,0.05,0.55,0.11488092617863274,0.5062948452700621,0.221255007263283,0.09372936567328433,0.03691068362900031,0.026929171985737552,0.07452928220220562,0.034071505226660824,0.0533242459591157,0.019985818426934157,0.3646901044161318,0.36845194105116724,0.37333996518279033,0.3848773042150992
0.6,0.05,0.6,0.15,0.45,0.24568063539973084,0.43332892515694404,0.18780387245330574,0.079090463558643,0.03141214634108395,0.022683957090292417,0.11895755188314329,0.15830729814312802,0.17222028156323888,0.017316042909707584,0.3606484706478374,0.36882450093350566,0.373912683290531,0.3803481853053998
0.6,0.05,0.6,0.25,0.35,0.31785955029129953,0.39333862968847805,0.16905002648177572,0.07084476864557754,0.028666522220617267,0.020240502672251914,0.18763204033317935,0.23102586748921336,0.2431866980784219,0.019759497327748086,0.36174805445628916,0.3708724791137497,0.37578325263457707,0.38110610823209584
0.6,0.05,0.6,0.35,0.25,0.36629640327215585,0.36714822121809965,0.156739397559101,0.06556060880505608,0.025848268704502398,0.01840710044108504,0.23562802335139685,0.28043600506543553,0.29131072855418616,0.02159289955891496,0.3649546262512864,0.3720015467285358,0.37714339257269575,0.3820937873357228
