s,efr,repair,duplex rate,r-u,MRCA 0,MRCA 1,MRCA 2,MRCA 3,MRCA 4,MRCA 5-300,egfr_c3h_sd_mse,braf_c3h_sd_mse,hras1_c3h_sd_mse,hras0_c3h_sd_mse,MRCA 0 all 4,MRCA 1 all 4,MRCA 2 all 4,MRCA 3 all 4
0.5,0.15,0.2,0.05,0.15,0.00572040153528196,0.3675265721877768,0.27236492471213464,0.16452612931798052,0.09032698553291998,0.0995349867139061,0.0,0.02489670625487476,0.0,0.12436198953520577,0.22903225806451613,0.21464075915047448,0.25670731707317074,0.272207267833109
0.5,0.15,0.3,0.05,0.25,0.007096560533661352,0.3785541940672754,0.2729337181246156,0.1602639920518522,0.08766617779249657,0.09348535743009888,0.0,0.020470938781898155,0.0,0.12290372298860361,0.25,0.22839467599825033,0.25680360547755243,0.2736531365313653
0.5,0.15,0.4,0.05,0.35,0.00992540341458847,0.38983738568619497,0.2744467680014982,0.15490495958051126,0.08277411904241705,0.0881113642747901,0.0,0.014905146250447495,0.0,0.12007459658541153,0.20754716981132076,0.2388310648518815,0.25634027066985104,0.2651622002820874
0.5,0.15,0.5,0.05,0.45,0.012681850956440598,0.39945709801925605,0.2728930737583238,0.1511642702633923,0.07884802985960894,0.08495567714297833,0.0,0.011164270263392284,0.0,0.1173181490435594,0.22073578595317725,0.23561265661499256,0.2690394777743239,0.2620650953984287
0.5,0.25,0.2,0.05,0.15,0.005764130887413154,0.31093431520810044,0.2760426940188923,0.18456177263462423,0.10493786573739233,0.11775922151357748,0.0,0.04567144412239436,0.0,0.12664056162665574,0.19391634980988592,0.1907379995770776,0.24644700277888051,0.2683766773542335
0.5,0.25,0.3,0.05,0.25,0.006945816980546066,0.3250134116384787,0.2769009232854279,0.18030889121043567,0.10079905130304656,0.1100319055820651,0.0,0.04042443251959213,0.0,0.12471881582496916,0.1910569105691057,0.20797498045347929,0.24706842051595798,0.26980895709364233
0.5,0.25,0.4,0.05,0.35,0.009461480927449514,0.3431189229618549,0.28029169783096486,0.17135377711293942,0.09338070306656694,0.10239341810022438,0.0,0.03135840145861048,0.0,0.12107205637525913,0.1857707509881423,0.21841961852861036,0.2484322881921281,0.27564382365779133
0.5,0.25,0.5,0.05,0.45,0.011992855320234754,0.3616738964021434,0.28022454707833633,0.16590967083439653,0.0866037254401633,0.09359530492472569,0.0,0.02590967083439652,0.0,0.11815502699776241,0.1829787234042553,0.2202624523775928,0.25878710617373885,0.26514918486619504
0.5,0.35,0.2,0.05,0.15,0.005554512034776075,0.25628572195239757,0.2739420935412027,0.20243110526739475,0.12168943032709904,0.1400971368771299,0.0,0.08931357396994405,0.0,0.13148033377321272,0.15458937198067632,0.17129096429693225,0.24145361935547066,0.2556998939554613
0.5,0.35,0.3,0.05,0.25,0.006773655689870779,0.27758093650132,0.2810893427817146,0.1952897040433514,0.11251215784354592,0.1267542031401973,0.0,0.06976200698742788,0.0,0.1281799326864617,0.17435897435897435,0.19759729695907896,0.24480968858131488,0.2591604411241551
0.5,0.35,0.3,0.15,0.15,0.0390198453368117,0.2963383956023479,0.2706233112829591,0.1774899841609988,0.10204043603838628,0.11448802757849623,0.0,0.04433249863320279,0.0,0.09264603655035467,0.16427889207258833,0.20662768031189083,0.24705639330716794,0.2621522309711286
0.5,0.35,0.4,0.05,0.35,0.008566401185404705,0.2995925171328024,0.28732172624560104,0.18568253380255603,0.10238007038340434,0.11645675125023153,0.0,0.05005411528693567,0.0,0.12411974646922025,0.15675675675675677,0.20741885625965997,0.24319097502014506,0.27057356608478805
