chr;left;right;geneId;score;strand;geneName;tranId;biotype;unit;tpm15d;isPrimary;geneMax;tpm15dq
1;3459513;3499114;MGP_C3HHeJ_G0015591;1;+;Fam150a;MGP_C3HHeJ_T0018554;protein_coding;transcript;0;1;0;q1
1;3600147;3972337;MGP_C3HHeJ_G0015592;1;+;St18;MGP_C3HHeJ_T0018555;protein_coding;transcript;0;1;0;q1
1;15679366;15680336;MGP_C3HHeJ_G0015636;1;-;Defb18;MGP_C3HHeJ_T0018808;protein_coding;transcript;0;1;0;q1
1;15694288;15706845;MGP_C3HHeJ_G0015637;1;-;Defb41;MGP_C3HHeJ_T0018809;protein_coding;transcript;0;1;0;q1
1;16575748;16635602;MGP_C3HHeJ_G0015638;1;+;Tfap2d;MGP_C3HHeJ_T0018811;protein_coding;transcript;0;1;0;q1
1;18189876;18193466;MGP_C3HHeJ_G0015641;1;+;Il17a;MGP_C3HHeJ_T0018822;protein_coding;transcript;0;1;0;q1
1;20682608;20684388;MGP_C3HHeJ_G0015654;1;-;4933415F23Rik;MGP_C3HHeJ_T0018867;protein_coding;transcript;0;1;0;q1
1;21382747;21435124;MGP_C3HHeJ_G0015656;1;+;B3gat2;MGP_C3HHeJ_T0018872;protein_coding;transcript;0;1;0;q1
1;26644973;26649131;MGP_C3HHeJ_G0015665;1;-;Gm597;MGP_C3HHeJ_T0018916;protein_coding;transcript;0;1;0;q1
1;29208507;29242415;MGP_C3HHeJ_G0015669;1;+;Lgsn;MGP_C3HHeJ_T0018936;protein_coding;transcript;0;1;0;q1
1;29259598;29261048;MGP_C3HHeJ_G0015670;1;+;Pih1d3;MGP_C3HHeJ_T0018939;protein_coding;transcript;0;1;0;q1
1;32801663;32812834;MGP_C3HHeJ_G0015684;1;+;Amer3;MGP_C3HHeJ_T0019017;protein_coding;transcript;0;1;0;q1
1;36265388;36276490;MGP_C3HHeJ_G0015716;1;-;Lyg2;MGP_C3HHeJ_T0019209;protein_coding;transcript;0;1;0;q1
1;36307712;36309978;MGP_C3HHeJ_G0015717;1;-;Lyg1;MGP_C3HHeJ_T0019210;protein_coding;transcript;0;1;0;q1
1;37336425;37347532;MGP_C3HHeJ_G0015724;1;+;Nms;MGP_C3HHeJ_T0019254;protein_coding;transcript;0;1;0;q1
1;38247422;38248597;MGP_C3HHeJ_G0015733;1;-;Gm3646;MGP_C3HHeJ_T0019281;protein_coding;transcript;0;1;0;q1
1;39047184;39102165;MGP_C3HHeJ_G0015741;1;+;Slc9a4;MGP_C3HHeJ_T0019326;protein_coding;transcript;0;1;0;q1
1;39291305;39346579;MGP_C3HHeJ_G0015744;1;+;Tmem182;MGP_C3HHeJ_T0019336;protein_coding;transcript;0;1;0;q1
1;45021881;45629225;MGP_C3HHeJ_G0015770;1;+;MGP_C3HHeJ_G0015770;MGP_C3HHeJ_T0019459;protein_coding;transcript;0;1;0;q1
1;56191013;56192404;MGP_C3HHeJ_G0015807;1;-;Hsfy2;MGP_C3HHeJ_T0019661;protein_coding;transcript;0;1;0;q1
1;64979391;64982438;MGP_C3HHeJ_G0015871;1;-;MGP_C3HHeJ_G0015871;MGP_C3HHeJ_T0020030;protein_coding;transcript;0;1;0;q1
1;65002815;65006260;MGP_C3HHeJ_G0015872;1;-;Crygc;MGP_C3HHeJ_T0020031;protein_coding;transcript;0;1;0;q1
